model_layer,kl_mean,kl_maximum,top1_agreement,maximum_absolute_logit_difference,behavioral_sensitivity,runtime_calibrated_experts,validation_fallback_routes_per_token,proxy_48,proxy_72,proxy_96,proxy_120,proxy_144,proxy_168,proxy_192,allocation_avg96,allocation_avg120,allocation_avg144
13,0.001503061073706084,0.001503061073706084,1,0.3168375492095947,0.013593069434829968,744,0.655421686746988,0.583794430843296,0.44960864728175604,0.3325290151795478,0.22756920152033758,0.1327521477928502,0.05088433809937562,1.4906527950379023e-16,48,96,144
14,0.002859139344818321,0.002859139344818321,1,0.5143389701843262,0.02656438087242059,721,0.8698795180722891,0.5871871359856884,0.44915813448230824,0.32807097685171493,0.22026485581004604,0.12520619979514847,0.04654994599842456,1.4718057317145314e-16,96,120,144
15,0.0019414084965588612,0.0019414084965588612,1,0.4335598945617676,0.023742409248267267,692,1.0602409638554218,0.5559244669822528,0.4077232024490771,0.2859539300157487,0.1841922243042555,0.09898447200356277,0.03281723539817319,1.8028862810656074e-16,72,120,144
16,0.0024587630541473182,0.0024587630541473182,1,0.5087027549743652,0.037708249171742265,669,1.1951807228915663,0.5200246372305163,0.37288414935000264,0.2553525241862766,0.16074176359726441,0.08469559144710301,0.028638251679153667,1.5864554788789468e-16,96,120,144
17,0.007265770379894572,0.007265770379894572,1,0.48713135719299316,0.11031280849764012,700,1.0578313253012048,0.5121212948078933,0.3701932932354406,0.2566420783058782,0.1638871772522328,0.08789989600500553,0.030014081603767156,1.6669749121280618e-16,144,144,168
18,0.008202555430067341,0.008202555430067341,1,0.5363988876342773,0.12360643958650074,674,1.1951807228915663,0.5067325238154372,0.3702796438417919,0.2576048518331601,0.16446794623863786,0.08842758338607001,0.030894175910525182,1.7039877133145582e-16,144,144,168
19,0.009361657995096853,0.009361657995096853,1,0.7188496589660645,0.17840478801467202,669,1.2481927710843375,0.4680010868938414,0.3342223393629656,0.22907259344916178,0.14466905426192064,0.07655898125917385,0.026740043492868935,1.9456819726749834e-16,144,144,168
20,0.0029398190930624646,0.0029398190930624646,1,0.47010207176208496,0.05689652378443079,671,1.3373493975903614,0.4716941996818502,0.33469021184098213,0.2273094214263642,0.1413503010315027,0.07372518767100861,0.025807934034007492,1.4525739129131732e-16,96,120,144
21,0.001206757903536138,0.001206757903536138,1,0.28045856952667236,0.02382145093866202,740,0.7204819277108434,0.4623957052663257,0.32698026882437986,0.22507433245750955,0.14605105446787844,0.08230497192913905,0.030285380205117996,1.7193042479219783e-16,72,96,120
22,0.0034504004949722318,0.0034504004949722318,1,0.5655959844589233,0.06468929273591816,711,0.8554216867469879,0.4653623537640337,0.3330239801189723,0.23095031145342976,0.14907658235836657,0.0819485408154146,0.029462909117944466,1.9998294224893199e-16,96,144,144
23,0.0037501089219058514,0.0037501089219058514,1,0.5825917720794678,0.08093356182702333,664,1.6313253012048192,0.4606196346519705,0.3217650369310554,0.21525716396251868,0.13105886920814194,0.06433670788886085,0.018303880028105412,1.7669651174704691e-16,120,144,144
24,0.0017892014882139532,0.0017892014882139532,1,0.3772132396697998,0.012289269364621767,759,0.5879518072289157,0.6383230660130638,0.5034926834522678,0.3815632977486499,0.26871856630970137,0.16287813161697684,0.06520116179215793,1.7254136013229502e-16,48,96,144
25,0.001747099350444398,0.001747099350444398,1,0.3533807396888733,0.013585061733713473,764,0.6144578313253012,0.6194870564679059,0.4813979501702998,0.35861462171212216,0.247998082077312,0.14721720359629178,0.058156262293414515,1.4204953761483011e-16,72,96,144
26,0.001623672347066723,0.001623672347066723,1,0.34976720809936523,0.014850022018434451,698,0.927710843373494,0.6025743844200533,0.4580586383704999,0.33066303553869236,0.21846607450646277,0.12114200639577538,0.042549001802102755,1.6895101354497523e-16,72,96,144
27,0.0025926771350515097,0.0025926771350515097,1,0.4080965518951416,0.024372758856057337,669,1.0457831325301206,0.5963631363597734,0.4527091580113995,0.32615337207212036,0.21528967635322763,0.1189685660098022,0.04104435893058977,1.6847781006084933e-16,96,120,144
28,0.003536422910132636,0.003536422910132636,1,0.5218226313591003,0.03449715408641459,736,0.689156626506024,0.5835162053725081,0.4411943983431118,0.3201772450525007,0.21573205293099643,0.12518482929022431,0.04708134029305831,1.3516729534500827e-16,96,144,168
29,0.0039324594838684186,0.0039324594838684186,1,0.587675929069519,0.043765046491300294,636,1.202409638554217,0.5696354559910752,0.4233302833236861,0.29975637720024206,0.1943377698826881,0.1055314684966851,0.03588189716595762,1.6093849801487515e-16,120,144,144
30,0.001584813678287938,0.001584813678287938,1,0.3296245336532593,0.019650870938535653,646,1.1036144578313254,0.5532956194565498,0.40605852287572747,0.2839868325069123,0.18219897873292926,0.097790581679216,0.032891388340471346,1.5104225060440868e-16,72,96,144
31,0.0019153347755940253,0.0019153347755940253,1,0.3916609287261963,0.022022720867558607,657,1.1566265060240963,0.5652229454532277,0.4185304257950785,0.2949082077841861,0.1898822282634332,0.10078399337991807,0.033904979160366014,1.664843048102111e-16,72,120,144
32,0.00511954046408559,0.00511954046408559,1,0.68861985206604,0.06290504923747593,711,0.689156626506024,0.5515536402546357,0.40629810878033407,0.28528092675061184,0.18436061950695853,0.10169597833438632,0.03687898124207875,1.621721312138169e-16,120,144,168
33,0.0020895646671370612,0.0020895646671370612,1,0.407238245010376,0.02668614712565017,728,0.7759036144578313,0.5497952629380355,0.40112588793980086,0.2798240061946859,0.1805552157550518,0.10018714659828584,0.03644190941455497,1.7406031554104176e-16,96,120,144
34,0.0015472688343863795,0.0015472688343863795,1,0.3600635528564453,0.017851630943669157,721,0.7301204819277108,0.559688346528065,0.4163351852920583,0.2944041577208963,0.19072881491583793,0.10511884136390659,0.03749008780376627,1.5810109220722914e-16,72,96,144
35,0.003036163095616629,0.003036163095616629,1,0.5124378204345703,0.045060723400595956,698,0.7036144578313253,0.5142527599321018,0.3742348192263329,0.2595753622626143,0.1649917777656722,0.08814199524094095,0.0300267832935446,1.9960335487487938e-16,96,120,144
36,0.001581130889470637,0.001581130889470637,1,0.37483882904052734,0.013807501598376046,739,0.5807228915662651,0.6069980030044221,0.46327453291126214,0.3383968880515308,0.22957841370794257,0.13428361726651347,0.05267541420327944,1.7500383048324129e-16,72,96,144
37,0.001553528243009928,0.001553528243009928,1,0.32946157455444336,0.014751685048245585,657,0.7325301204819277,0.5947544754183861,0.4502065205462122,0.32451797760105605,0.21535060077741064,0.12088282063934067,0.042613559368111474,1.7287655135803116e-16,72,96,144
38,0.0011309495925540475,0.0011309495925540475,1,0.29827696084976196,0.013744030491340185,565,0.9951807228915662,0.5546529783373707,0.40879869181711265,0.28685641681046425,0.18478043471667982,0.09996345776488422,0.034767667218454784,1.7503077924218485e-16,48,96,120
39,0.0013899973639016328,0.0013899973639016328,1,0.3464522957801819,0.016497979317694256,653,0.8674698795180723,0.5524486278782995,0.4102067373903136,0.2902629540976175,0.18816399384349614,0.10312289777733351,0.037022445248218364,1.8146471785286385e-16,72,96,120
40,0.0027452098759859394,0.0027452098759859394,1,0.49974119663238525,0.03596469302813521,617,0.9975903614457832,0.5375558497283625,0.39375066835867106,0.27628009547231736,0.17772986147646308,0.09658145655480167,0.034582267717589585,1.513002050321557e-16,96,120,144
41,0.001656999736433455,0.001656999736433455,1,0.3330768346786499,0.022266393277875524,586,1.2289156626506024,0.5389935385484436,0.39310983754877127,0.27279492208643397,0.17269354120895453,0.09129894224699313,0.030908308119922494,1.5961504038197744e-16,72,120,144
42,0.0038144430015294114,0.0038144430015294114,1,0.6029478907585144,0.060506614281807126,520,0.9253012048192771,0.5111389911932585,0.3671363706590512,0.25108116713419243,0.15720436038592092,0.08279955241619498,0.028455908942061927,1.5992371525393067e-16,120,144,144
43,0.007155612812691869,0.007155612812691869,1,0.48952484130859375,0.12339132818368431,562,1.0481927710843373,0.49137874045073066,0.35207788266758117,0.24081364816586107,0.15125993402113785,0.08027046377647165,0.027688889885770614,1.6502196499735853e-16,144,144,168
44,0.002685202977495858,0.002685202977495858,1,0.4097409248352051,0.037356724912530954,582,1.0795180722891566,0.5225628055335138,0.3836173243312404,0.26810453667101813,0.17091125590322018,0.09081451890219293,0.03081205756161987,1.9841692702397632e-16,96,120,144
45,0.007482597174815357,0.007482597174815357,1,0.5450229644775391,0.10893827032007512,512,1.0120481927710843,0.5140699456996115,0.3760498544623904,0.26208124616370654,0.16659328326391132,0.08892563509504552,0.03109735393599696,1.731972730179873e-16,144,144,168
46,0.0016370519461007067,0.0016370519461007067,1,0.3599507212638855,0.025352749388187806,536,1.0457831325301206,0.5011057757363743,0.36491420637955607,0.2541082109183816,0.1606579074793675,0.0836668694205149,0.026451406919042495,1.822060096949879e-16,72,96,144
47,0.0029237475578212787,0.0029237475578212787,1,0.43316650390625,0.04532814703808919,575,0.7855421686746988,0.5073543601805826,0.36724664440448584,0.25397206669246114,0.16124470730803236,0.08624756794922624,0.029383077291428826,1.8123728492999615e-16,96,120,144
48,0.0038183629591167843,0.0038183629591167843,1,0.6219805479049683,0.0450846969729087,555,1.6506024096385543,0.5670156294315398,0.4170776168398852,0.2910207976350438,0.18518775660442224,0.097958555755189,0.033903523873424046,1.4754821492436192e-16,120,144,144
49,0.0013964575565272833,0.0013964575565272833,1,0.3206806182861328,0.021962959970651494,497,1.6843373493975904,0.5119513362808034,0.3683526532763925,0.25215549407577725,0.15922070411506506,0.08551696987564257,0.030950071204118607,1.5514261558260924e-16,72,96,120
50,0.0027271530533892626,0.0027271530533892626,1,0.4286643862724304,0.03268707827126406,494,1.163855421686747,0.560969161032311,0.41455054032260163,0.28884623068807574,0.1812002493719514,0.0941742423485454,0.030933890619147565,1.4843845817753908e-16,96,120,144
51,0.002174224187414489,0.002174224187414489,1,0.4845709800720215,0.02696304719484814,516,1.308433734939759,0.5639675269003687,0.41273242659297016,0.2839668706256217,0.17570685431153368,0.08923271551252829,0.02850469419674159,1.4387878356362812e-16,96,120,144
52,0.006931044280967488,0.006931044280967488,1,0.4683009088039398,0.1472430435908712,512,1.6506024096385543,0.46505227586861786,0.32683559614745217,0.2169611348073933,0.13204409422851526,0.0670242230461556,0.021744086276236314,1.4712845067708816e-16,120,144,168
53,0.0031313802509456016,0.0031313802509456016,1,0.5218273997306824,0.06833304568950138,392,2.2650602409638556,0.47208903308100325,0.3279041125894773,0.21406837632168327,0.12568840072155577,0.06036273229258094,0.018051826535718202,1.670087187362807e-16,120,120,144
54,0.008773963117324804,0.008773963117324804,1,0.5056781768798828,0.16041106656611415,426,1.780722891566265,0.4864461945559313,0.34705187068443194,0.23387335133571696,0.14221926775988183,0.07017153068708723,0.020554253210530324,1.7981276776264133e-16,144,144,168
55,0.001370266429944104,0.001370266429944104,1,0.30238890647888184,0.02719098426970747,436,1.491566265060241,0.4666964963584496,0.332561612189694,0.22448640483304552,0.13693542834381264,0.06851844013680215,0.02147016384191857,1.5853539945731371e-16,72,96,120
56,0.0027700022249348218,0.0027700022249348218,1,0.42438840866088867,0.08221282078987428,454,2.0819277108433734,0.41190283821963775,0.28087823115255045,0.18355671813768512,0.10974763441292101,0.05396607564613412,0.017365917953902143,1.944051043626847e-16,96,120,144
57,0.0011879065707423348,0.0011879065707423348,1,0.2558169364929199,0.027764235927057936,466,2.1373493975903615,0.4588887900042708,0.317753315718231,0.20684654882040465,0.1218429835940814,0.059380497011454245,0.018385131616310765,1.973773642971161e-16,72,96,120
58,0.0014677553394258683,0.0014677553394258683,1,0.39955759048461914,0.0336910693163545,421,1.727710843373494,0.4653915568048128,0.32072059942100467,0.2087225811836416,0.12066888382095853,0.05731219149029012,0.017780782448686926,1.5794793026069734e-16,72,96,120
59,0.0013969865942786942,0.0013969865942786942,1,0.2871057391166687,0.03938467777590854,431,2.3180722891566266,0.4394757879084763,0.2942194545229339,0.1883356221083309,0.11143552094398804,0.05660480427811595,0.018397712307717622,1.7193333369724525e-16,72,96,120
60,0.0013697903374255158,0.0013697903374255158,1,0.3250674605369568,0.028721242588396978,550,1.144578313253012,0.4545364342397635,0.32077358579400816,0.21838632325043805,0.13642490002801594,0.07127862649926982,0.024126543127813337,1.5053502936517835e-16,72,96,120
61,0.003588661725994363,0.003588661725994363,1,0.5162351131439209,0.0956214566075521,522,1.5903614457831325,0.4251733101447333,0.29381581827504044,0.19372629999743393,0.11653463641652129,0.057762885060400324,0.018134635040128345,1.8077290863431692e-16,120,120,144
62,0.0006933170657550457,0.0006933170657550457,1,0.25521206855773926,0.01583829923218669,553,1.3759036144578314,0.4368082032366152,0.30850700951874416,0.20922408308671353,0.12828804960118217,0.06381055040516079,0.01937847370539191,1.8952471572977186e-16,48,72,120
63,0.00237850130309188,0.00237850130309188,1,0.37158727645874023,0.08477034882898606,499,1.544578313253012,0.37190428065206804,0.25323284722546296,0.16750574690382114,0.10159949042134553,0.050800108481659605,0.016608473440165025,1.7956191964256242e-16,96,120,144
64,0.007696912275247901,0.007696912275247901,1,0.5103657245635986,0.32057588788038405,464,1.4457831325301205,0.3381330561378444,0.23309806393813987,0.15495044987688314,0.0936950700029316,0.0470613846883341,0.015305219392922365,1.8412452068016896e-16,144,144,168
65,0.002207677220813711,0.002207677220813711,1,0.4350900650024414,0.06255018740153728,471,1.4457831325301205,0.41035672653934574,0.28257467588645063,0.18786828926099325,0.11497351538217042,0.058846237448551074,0.01923106532699869,1.613261638447987e-16,96,120,144
66,0.0024906952864966183,0.0024906952864966183,1,0.4440751075744629,0.07021314493639386,532,1.1734939759036145,0.39859109635933754,0.27823126029691125,0.18834369503303783,0.11726752307817832,0.061212490359860795,0.02047381432036968,1.617189767564164e-16,96,120,144
67,0.002962778604550252,0.002962778604550252,1,0.46237504482269287,0.09171354326606757,453,1.2867469879518072,0.395011282862584,0.26985185617210006,0.17973508596669513,0.1100216597301598,0.05608807763475523,0.018565203789601567,1.311830946419252e-16,96,120,144
68,0.001489616160785758,0.001489616160785758,1,0.38554078340530396,0.051825760211071464,558,1.2240963855421687,0.3895871903018785,0.25962771453229366,0.16953694263975078,0.10336418146612047,0.05303818160708336,0.017591247603524273,1.577195746095156e-16,72,96,120
69,0.0013845750028103488,0.0013845750028103488,1,0.362316370010376,0.03488384330992707,511,1.621686746987952,0.42344019439585867,0.29708671768647177,0.19922602951383708,0.12114906961981965,0.06164641536548925,0.020041597687799485,1.7515442596575758e-16,72,96,120
70,0.002688444348814144,0.002688444348814144,1,0.4957451820373535,0.08257791918939324,578,1.0433734939759036,0.3873361366399069,0.2676840250801182,0.18043407513278642,0.11248617913626095,0.05850345315084969,0.01940059483775294,1.870187438410009e-16,96,120,144
71,0.0017978768607260153,0.0017978768607260153,1,0.34585022926330566,0.05988845670243461,526,1.3975903614457832,0.38468060306496243,0.2621404212963382,0.17326402962959997,0.10571895807876548,0.054083124021215435,0.017708548153548626,1.7455516435457386e-16,96,120,144
72,0.005137097117384843,0.005137097117384843,1,0.6850456595420837,0.13224397063472185,522,1.4626506024096386,0.44807665659006896,0.3050237421622143,0.19709288554620752,0.1164475098502145,0.057620488033775674,0.017529210089074855,1.8004682138711237e-16,120,144,144
73,0.0030761237073063806,0.0030761237073063806,1,0.44318056106567383,0.09251981727526251,374,1.6698795180722892,0.4050344090041656,0.2778282838853908,0.18234107681564093,0.10792366182319728,0.05315395659075629,0.016216383925150266,2.0994215388272368e-16,96,120,144
74,0.010085505017464849,0.010085505017464849,1,0.630122184753418,0.37341026427509416,452,1.2578313253012048,0.38740048184570747,0.2559281531670491,0.16434469853092945,0.09767387588976016,0.048905935695631696,0.015837928137969075,2.190851810445713e-16,144,144,168
75,0.002835714674044953,0.002835714674044953,1,0.49931037425994873,0.09363299326328893,485,1.6746987951807228,0.3863474710426603,0.2647429014323,0.17402707137739337,0.104182897548172,0.051133416807901254,0.016558297611432047,1.8256757831126736e-16,96,120,144
76,0.0014420932188897084,0.0014420932188897084,1,0.3397073745727539,0.04999752882828077,402,1.9759036144578312,0.38763852835588003,0.26211005225286216,0.16983312371925738,0.09961644321968577,0.04762362936836884,0.013952314047854193,1.7859952128719518e-16,72,96,120
77,0.0010138687459380878,0.0010138687459380878,1,0.2636982202529907,0.0333519302527486,416,1.6674698795180722,0.400721797058983,0.270801720623303,0.17435338393149832,0.10164869800431367,0.049503611271247215,0.01687372480716296,1.5826363981688696e-16,72,96,120
78,0.0011793539548135736,0.0011793539548135736,1,0.27660369873046875,0.04511781657755947,421,2.067469879518072,0.38964911887497744,0.2561393276535677,0.16167692728751645,0.09156256815498762,0.04214082464449194,0.01261627096381097,1.5104287015995e-16,72,96,120
79,0.006313589059464688,0.006313589059464688,1,0.4802227020263672,0.16619955607274836,429,1.6,0.42367875422605045,0.2939831704749375,0.19490511010666667,0.11701583239393562,0.05791578034060257,0.018326836769178467,1.861391840216447e-16,120,144,168
80,0.002314123307760683,0.002314123307760683,1,0.40605592727661133,0.06394961122891217,519,1.9566265060240964,0.43391948128607977,0.29418838782153833,0.19022793521266268,0.11075411791449434,0.05268251754217857,0.015801729788149105,1.6042545630793198e-16,96,120,144
81,0.0020120336149982393,0.0020120336149982393,1,0.34640395641326904,0.0382890783802975,550,0.9927710843373494,0.4885659132881815,0.3424425294412268,0.22923459483820705,0.14006095828443285,0.07135825460749479,0.022820361005488433,2.1154453379595978e-16,96,120,144
82,0.008330232742194235,0.008330232742194235,1,0.6280336380004883,0.1571076124431314,621,1.346987951807229,0.4857927770594402,0.3426638492739633,0.23026607242520675,0.14105428189102925,0.07270592911898249,0.02514151319168888,1.8152027440178482e-16,144,144,168
83,0.003347104319068216,0.003347104319068216,1,0.48709410429000854,0.04255347972356791,597,0.9686746987951808,0.5452224405497446,0.3999432877268816,0.28045751678025743,0.18009286846865294,0.09625967910077761,0.03197458520948998,1.7181224374173305e-16,96,120,144
84,0.0005666977962967161,0.0005666977962967161,1,0.17500853538513184,0.012071414692824188,476,1.6843373493975904,0.452799977614527,0.32054090094558796,0.21666894920214905,0.1326444495133154,0.06701379111630879,0.021813481576106918,1.4409206009443012e-16,48,72,96
85,0.001230531913073158,0.001230531913073158,1,0.2876242995262146,0.025637021514001226,461,1.5879518072289156,0.4618599899909224,0.3249772367803136,0.21908500647193793,0.13473376124589898,0.07034211138250418,0.024642367788897585,1.7903465302568769e-16,72,96,120
86,0.0012674121027543804,0.0012674121027543804,1,0.28454339504241943,0.02647805217081676,449,1.6433734939759037,0.46345794502914706,0.32601014209349477,0.21878417631606242,0.13448152471159136,0.07016893759224756,0.025093665667588954,1.87358381360933e-16,72,96,120
87,0.005904823770942933,0.005904823770942933,1,0.5943549871444702,0.11621477313408984,508,1.4481927710843374,0.4802999488818236,0.33623585327128314,0.2254098037804927,0.13718040230688164,0.06925170619706446,0.02180175498808368,1.833956697718973e-16,120,144,168
88,0.0003979588757890839,0.0003979588757890839,1,0.15027523040771484,0.008812394362622234,516,1.7518072289156625,0.4641642123397471,0.32145846050410387,0.21250645948081276,0.12781633397965644,0.06408642611698998,0.0205164380304797,1.7601952229245827e-16,48,72,96
89,0.000758806440579626,0.000758806440579626,1,0.29776906967163086,0.01485194486798488,572,1.780722891566265,0.49122281713555555,0.34333768245763957,0.22603403613965065,0.13376836284691626,0.06510287853935405,0.020110924964103168,1.647162184732008e-16,48,96,120
90,0.0037936009039808197,0.0037936009039808197,1,0.6402904987335205,0.07933377344374218,500,1.616867469879518,0.4709122714569692,0.3284651733500574,0.21867380618801702,0.13205512427620789,0.06580362269994054,0.01997552564830784,1.8814962045290768e-16,120,144,144
91,0.0013022359879041143,0.0013022359879041143,1,0.33741307258605957,0.02462747745762259,530,1.8433734939759037,0.4938172635517377,0.3472744598251433,0.22995077703129066,0.13598190747168795,0.06505898294385085,0.01917141398987339,1.5716347632135746e-16,72,96,120
92,0.014350351386895647,0.014350351386895647,1,1.7994396686553955,0.32771615742659455,665,0.6795180722891566,0.45217645461300937,0.3123011802581228,0.20925813035638646,0.1308799091104073,0.07007484309596555,0.02482647804538368,1.7833073836698283e-16,144,168,168
